name,phase,inc,emi,dist,lat,lon,clat1,clon1,clat2,clon2,clat3,clon3,clat4,clon4,aS_phi001,aS_phi100,aS_phi200,aS_phi300,aS_phi400,aS_phi500,volfe_phi001,volfe_phi100,volfe_phi200,volfe_phi300,volfe_phi400,volfe_phi500,res_phi001,res_phi100,res_phi200,res_phi300,res_phi400,res_phi500,canal0,canal1,canal2,canal3,canal4,canal5,canal6,canal7,canal8,canal9,canal10,canal11,canal12,canal13,canal14,canal15,canal16,canal17,canal18,canal19,canal20,canal21,canal22,canal23,canal24,canal25,canal26,canal27,canal28,canal29,canal30,canal31,canal32,canal33,canal34,canal35,canal36,canal37,canal38,canal39,canal40,canal41,canal42,canal43,canal44,canal45,canal46,canal47,canal48,canal49,canal50,canal51,canal52,canal53,canal54,canal55,canal56,canal57,canal58,canal59,canal60,canal61,canal62,canal63
2439387516_lvl3_0.fit,20.94,25.62,25.7,8.658,-9.88,194.41,-7.95,196.04,-11.76,196.39,-11.83,192.77,-8.09,192.5,51.347154952539,59.10627923260321,65.60293204854196,72.73888002513385,81.21713686560517,92.11970902544358,0.0003707476215292,0.0003700921600939,0.000369682989372,0.0003693294459199,0.0003690248327807,0.000368792655685,0.0006600981045656,0.0006612434721308,0.0006617742320154,0.0006620356718303,0.0006619868343218,0.0006614503332687,0.1686685681343078,0.2028760761022568,0.1599641442298889,0.1608447730541229,0.1479473412036895,0.1495315730571746,0.1597475707530975,0.1661075055599212,0.1651845127344131,0.1657126545906067,0.1651813238859176,0.1650491803884506,0.1643453389406204,0.1685366034507751,0.1657890379428863,0.1665942817926406,0.1683260351419448,0.1668217927217483,0.1708646714687347,0.1705079525709152,0.1730523258447647,0.1753233522176742,0.179438903927803,0.178571730852127,0.1803310811519622,0.1783657968044281,0.1797738671302795,0.1791695058345794,0.1772596538066864,0.1767662614583969,0.1772886365652084,0.1744213700294494,0.1736657917499542,0.1726148724555969,0.1705984324216842,0.1678501367568969,0.1623743325471878,0.1599519997835159,0.156896561384201,0.1544746607542038,0.1505514979362487,0.1482308208942413,0.1462388187646865,0.1448239088058471,0.1426950544118881,0.1419774442911148,0.139386847615242,0.1357587575912475,0.1320239454507827,0.1283305883407592,0.1244865581393241,0.1210170462727546,0.1192201748490333,0.1177190020680427,0.1162159964442253,0.1159325167536735,0.1150753498077392,0.1154843270778656,0.1152716502547264,0.1204262152314186,0.1214763447642326,0.124203898012638,0.1242866963148117,0.124775692820549
2447878800_lvl3_0.fit,32.94,9.7,23.64,8.423,-3.94,183.43,-2.09,185.32,-5.43,185.41,-5.81,181.8,-2.42,181.29,45.35167229544278,52.36347482118196,58.1892011870494,64.59977369435573,72.25969182072777,82.19203997604592,0.000359483217994,0.0003585888012415,0.0003580039021474,0.0003574927865544,0.0003570361148937,0.0003566627340306,0.0006752114705682,0.0006765992257747,0.0006774232414557,0.0006780400441785,0.0006784193080457,0.000678397369566,0.1351420581340789,0.1589378714561462,0.1270131766796112,0.1340027004480362,0.1255642026662826,0.1247545182704925,0.1365246474742889,0.1453408151865005,0.1460985839366912,0.1465942412614822,0.1462563276290893,0.1462219804525375,0.1457595080137252,0.1493578404188156,0.1473748236894607,0.1482563018798828,0.1490477174520492,0.1474849134683609,0.1510940492153167,0.1503662019968032,0.1528218686580658,0.1547556966543197,0.1581194996833801,0.15721096098423,0.15898098051548,0.1570825576782226,0.1580772846937179,0.1575539261102676,0.1560249477624893,0.1553950756788253,0.1556717157363891,0.153090700507164,0.1520400643348693,0.1507587432861328,0.148714005947113,0.1462175548076629,0.1415518969297409,0.1390746682882308,0.1362771391868591,0.1343095898628235,0.1309613436460494,0.1285325586795807,0.126627042889595,0.1251362860202789,0.1233054399490356,0.1221845969557762,0.1197860836982727,0.1166854053735733,0.1133348792791366,0.1098828464746475,0.1065162718296051,0.1036847606301307,0.1019354984164238,0.1005662009119987,0.0994553193449974,0.0991981774568557,0.0987023413181304,0.0994480922818184,0.0998939201235771,0.1048560142517089,0.1069723516702652,0.1109335720539093,0.1126667782664299,0.1143742576241493
2447878934_lvl3_0.fit,33.01,21.57,21.07,8.428,-4.65,186.1,-2.85,188.54,-6.16,188.31,-6.51,184.42,-3.16,184.09,43.38267177742609,50.13331984743465,55.74052287159292,61.91003092856966,69.28066042339739,78.83448383610593,0.0003823827530238,0.0003814395984123,0.0003808119124649,0.0003802532170264,0.000379738312136,0.0003792917099803,0.0006681394830003,0.0006700666381356,0.0006712368961653,0.0006721509095062,0.0006727856299891,0.0006729523571076,0.1801893562078476,0.1788050383329391,0.1524157524108886,0.1457572877407074,0.134149745106697,0.1312989741563796,0.1434009820222854,0.1510588079690933,0.1516387909650802,0.151903823018074,0.1514949947595596,0.1514231115579605,0.1508643925189972,0.1545586735010147,0.1524306386709213,0.1533722132444381,0.1543554067611694,0.1528283059597015,0.1564851552248001,0.1558501571416854,0.1583455055952072,0.1603537499904632,0.1638741493225097,0.1629375666379928,0.1646523922681808,0.1626690775156021,0.1637125313282012,0.1630990654230117,0.1614180207252502,0.1607967615127563,0.1610814183950424,0.158445730805397,0.1574176400899887,0.1561408936977386,0.1540732681751251,0.151531383395195,0.1466541588306427,0.1441583335399627,0.1413383334875106,0.1392683237791061,0.1357838958501815,0.1332971751689911,0.131342202425003,0.1298212558031082,0.1278406381607055,0.1266671568155288,0.1241808831691742,0.1208866089582443,0.1173271909356117,0.113691546022892,0.1101406440138816,0.1070242673158645,0.1050522997975349,0.1035169139504432,0.1020413413643836,0.1014065593481063,0.1004568040370941,0.1007545888423919,0.1007416024804115,0.1050808578729629,0.106497585773468,0.1095513701438903,0.1105451732873916,0.1122899502515792
2447879068_lvl3_0.fit,33.03,14.04,20.72,8.428,-5.57,186.77,-3.82,189.41,-7.17,189.54,-7.48,185.37,-4.11,184.91,45.47788979255046,52.37334494148583,58.093915113906576,64.37814058612673,71.87301502245484,81.56784356089783,0.0003782256152665,0.0003773579930961,0.0003767892318691,0.00037628996562,0.0003758380530095,0.0003754621195802,0.0006531142238689,0.0006548129484677,0.0006558096257802,0.0006565502235272,0.0006570047606093,0.000656987246302,0.1952050775289535,0.1887385994195938,0.1481819301843643,0.1481081545352935,0.1320033073425292,0.1312989294528961,0.1412520706653594,0.1490105092525482,0.14897121489048,0.1492184549570083,0.1488221436738968,0.1487243324518203,0.1482671052217483,0.151874303817749,0.1497140079736709,0.1504944413900375,0.1516019701957702,0.1500964909791946,0.1536476463079452,0.1529775410890579,0.155350387096405,0.1572618633508682,0.1607045233249664,0.1598024815320968,0.1613572984933853,0.1594713181257248,0.1604794114828109,0.1598071157932281,0.1580728590488433,0.1574598550796508,0.1578103452920913,0.1550968140363693,0.154163509607315,0.1531348228454589,0.1511623263359069,0.1486424952745437,0.1438153237104416,0.1414486318826675,0.1387044936418533,0.1366584002971649,0.1331221908330917,0.130738079547882,0.1287780106067657,0.1272473484277725,0.1253226548433303,0.124253399670124,0.1217781230807304,0.1185369864106178,0.115059494972229,0.1115270778536796,0.1079934388399124,0.1049215570092201,0.1030056700110435,0.1013891324400901,0.0997569561004638,0.0991755798459052,0.0981569588184356,0.0981917306780815,0.0978429317474365,0.1019647046923637,0.1028183996677398,0.1052846610546112,0.1056320145726204,0.1062976419925689
2447879337_lvl3_0.fit,33.08,10.9,34.96,8.436,-7.57,189.09,-5.78,191.44,-9.3,192.51,-9.45,187.47,-5.99,186.41,44.0950882016809,50.92191870165681,56.59043259324808,62.82485079222174,70.26976883650295,79.91582075257824,0.0003706106792058,0.0003697321597045,0.0003691449706703,0.0003686260746318,0.000368145935564,0.0003677295411967,0.0006522194930655,0.0006539967135099,0.0006550724988282,0.0006559068360597,0.0006564749487073,0.0006565962160123,0.1501576602458953,0.188738465309143,0.1312467753887176,0.1387043744325637,0.1287836283445358,0.130071759223938,0.1399626582860946,0.1463647484779358,0.1456880122423172,0.1459837555885314,0.1454008370637893,0.1453876346349716,0.1447741538286209,0.1483510136604309,0.1460163295269012,0.1467639654874801,0.1480523198843002,0.1467342376708984,0.1502142548561096,0.1496609300374984,0.1518396884202957,0.1537014693021774,0.157152697443962,0.1562702655792236,0.1576228141784668,0.1558220833539962,0.1569030582904815,0.1561806350946426,0.1544034034013748,0.153776004910469,0.1541460901498794,0.1515318155288696,0.1507107466459274,0.1498567461967468,0.1480064839124679,0.145515039563179,0.1406763046979904,0.1384157240390777,0.1356943696737289,0.1335388869047165,0.1300388127565384,0.1277547776699066,0.1258576214313507,0.1244565099477768,0.122465968132019,0.1215697601437568,0.1191168054938316,0.1158138886094093,0.1123765632510185,0.1090102195739746,0.1055370196700096,0.1024477556347846,0.1006210371851921,0.0991609543561935,0.0974294543266296,0.0968544334173202,0.0958570837974548,0.0957544595003128,0.0951356515288352,0.0990412607789039,0.0997326001524925,0.1015587672591209,0.1009421497583389,0.1010869070887565
2450561049_lvl3_0.fit,22.77,6.98,16.81,8.156,-6.48,198.34,-4.68,199.98,-8.24,200.42,-8.35,196.79,-4.92,196.45,55.82643007862336,64.26380918009761,71.34407509816653,79.13246492086837,88.40445835092618,100.36052661443904,0.0003039244196036,0.0003033330427699,0.0003029564570503,0.0003026332414732,0.0003023516815466,0.0003021317619977,0.0006628660226955,0.0006643585794528,0.0006649998322325,0.0006652561681261,0.0006650661371449,0.0006641742336546,0.1790227890014648,0.2171246409416198,0.151428997516632,0.1564921438694,0.1396787464618683,0.1385765820741653,0.1505854129791259,0.1588991433382034,0.1595592200756072,0.1601975262165069,0.159702256321907,0.1596077978610992,0.1592306345701217,0.163309097290039,0.1610402315855026,0.1619801819324493,0.1630458831787109,0.1612337231636047,0.1651132851839065,0.1644409000873565,0.1670522689819336,0.169205904006958,0.1729750782251358,0.1721197366714477,0.174022614955902,0.1720813512802124,0.1733298450708389,0.1729567945003509,0.1713606715202331,0.1708995848894119,0.1714129447937011,0.1688427329063415,0.1679644435644149,0.1667064577341079,0.1647655814886093,0.1622546911239624,0.1573093980550766,0.1549196392297744,0.1520840227603912,0.150109201669693,0.1465297937393188,0.144163355231285,0.142224833369255,0.1407755315303802,0.1387165486812591,0.1377332210540771,0.1352522820234298,0.1320231407880783,0.1284036338329315,0.1248244792222976,0.1211348846554756,0.1180055290460586,0.1161991506814956,0.1147328317165374,0.1134778782725334,0.1131310984492302,0.1123381853103637,0.1127835810184478,0.1129945144057273,0.1180610284209251,0.1199577823281288,0.1238280534744262,0.1258046776056289,0.128129169344902
2450561184_lvl3_0.fit,22.77,6.94,16.84,8.156,-6.36,198.33,-4.56,199.98,-8.1,200.4,-8.22,196.78,-4.8,196.44,53.33589802190826,61.49033108402634,68.3309128869981,75.85922018277697,84.82709307541666,96.3986863842797,0.0003267056552862,0.0003261139311666,0.0003257392536702,0.0003254209029445,0.0003251416892789,0.0003249266914072,0.0006353870169047,0.0006365127372947,0.0006370168959826,0.0006372373576046,0.0006371233769225,0.0006364782856039,0.1641041785478592,0.1973859667778015,0.1388098746538162,0.1494849920272827,0.1407449543476104,0.1418275982141494,0.1540012806653976,0.163138672709465,0.1637724041938781,0.1643206477165222,0.1635792404413223,0.1638977378606796,0.163279190659523,0.1674344539642334,0.1652386039495468,0.1662511229515075,0.1672645211219787,0.1654688268899917,0.1693982183933258,0.1688255816698074,0.1714669317007064,0.1737204790115356,0.1775757819414138,0.1768125295639038,0.178685113787651,0.1766972988843917,0.1779416352510452,0.1775215715169906,0.1758540421724319,0.1753308027982711,0.175756424665451,0.1731204688549041,0.1721384525299072,0.1708164513111114,0.1687792539596557,0.1662306934595108,0.1611609905958175,0.1587107628583908,0.1557618677616119,0.1537516862154006,0.1501036435365677,0.1476047933101654,0.1456356942653656,0.1441371887922286,0.1420812755823135,0.1409802734851837,0.1384703665971756,0.135145902633667,0.1314657479524612,0.127775028347969,0.1240019425749778,0.1208143159747123,0.118904024362564,0.1173652857542038,0.1160471513867378,0.1154595017433166,0.1147172898054122,0.1152049750089645,0.1153309792280197,0.1204228475689888,0.1222374141216278,0.1260371059179306,0.1278015375137329,0.1296821981668472
2450561318_lvl3_0.fit,22.79,9.28,13.56,8.157,-5.55,198.83,-3.75,200.51,-7.24,200.87,-7.41,197.26,-4.01,196.95,61.13543320648674,70.0502210892679,77.56842515464871,85.85964334344072,95.75800324268651,108.57527668494528,0.0003506371372637,0.0003501246219194,0.0003498482835683,0.0003496598773017,0.0003495650339593,0.0003496278720666,0.00059808227696,0.0005985336450154,0.0005985847591858,0.0005984038399145,0.0005979435540644,0.0005970736515867,0.2536154687404632,0.2763402760028839,0.1766670495271682,0.1751776486635208,0.1535398811101913,0.1450786143541336,0.1558515280485153,0.1645800620317459,0.1645878106355667,0.1652301102876663,0.1644289493560791,0.1644826978445053,0.1640799790620803,0.1680594831705093,0.1658008396625518,0.166886419057846,0.1678577214479446,0.1660652756690979,0.170131117105484,0.1695260554552078,0.1722717732191085,0.1744651198387146,0.1784243881702423,0.177622303366661,0.179558053612709,0.1774447709321975,0.1786055266857147,0.1782211065292358,0.1765152812004089,0.1759872287511825,0.1763657033443451,0.1737030595541,0.1728214174509048,0.1714421510696411,0.1693738400936126,0.1668230891227722,0.1617449074983596,0.15924172103405,0.1563165187835693,0.1542331874370574,0.1505748778581619,0.1480823457241058,0.1460885405540466,0.1445250362157821,0.1424323320388794,0.1413228064775467,0.1388480514287948,0.1354859620332718,0.1317988783121109,0.1281583905220031,0.1242749541997909,0.1211478188633918,0.1192024573683738,0.1176643967628479,0.1162826269865036,0.1157729029655456,0.1149528175592422,0.1154795363545417,0.1156297996640205,0.1208058074116706,0.1226697191596031,0.1265744119882583,0.1286890059709548,0.1309763938188552
2450561452_lvl3_0.fit,22.8,15.56,33.66,8.159,-4.76,199.36,-2.93,201.05,-6.39,201.35,-6.57,197.74,-3.21,197.47,82.86578662817102,94.05889996727149,103.6262917232176,114.2194707134178,126.90492760497808,143.4133752309743,0.000279694528025,0.0002793730654333,0.0002792662772116,0.000279263656077,0.0002793898170682,0.0002797369059123,0.0006477341097352,0.0006475912537406,0.0006467119584596,0.0006453107810501,0.0006432815122389,0.0006403605651662,0.1641040593385696,0.2171244323253631,0.1598415672779083,0.1658347845077514,0.1450098603963852,0.144265815615654,0.1558514833450317,0.1650887727737426,0.1655391156673431,0.1659576743841171,0.1653317660093307,0.1655551344156265,0.1650142073631286,0.1692678779363632,0.1669253855943679,0.1680864840745926,0.1691430509090423,0.1672880351543426,0.1714842170476913,0.1709011048078536,0.1736375838518142,0.1758846044540405,0.1798983663320541,0.1790342479944229,0.1809468418359756,0.1788463294506072,0.1800410747528076,0.1796202361583709,0.1779225915670395,0.1773493885993957,0.177756205201149,0.175190269947052,0.1742329597473144,0.1728073805570602,0.1707387119531631,0.1681396216154098,0.1630370318889618,0.1605259776115417,0.1575464606285095,0.1555049270391464,0.151779219508171,0.1491919904947281,0.147192433476448,0.1456168293952942,0.1434417217969894,0.1423654109239578,0.13981494307518,0.1364598572254181,0.1327349245548248,0.1290085166692733,0.1251794248819351,0.1218850910663604,0.1199486032128334,0.1183823123574256,0.1170747950673103,0.1164669245481491,0.1156359016895294,0.116178460419178,0.1163904815912246,0.1216036975383758,0.1234557777643203,0.127469927072525,0.1293545961380005,0.1314940452575683
2450561587_lvl3_0.fit,22.79,9.21,13.63,8.157,-5.75,198.69,-3.95,200.37,-7.45,200.74,-7.61,197.13,-4.21,196.81,68.1508990366369,77.86428185629424,86.09976972649895,95.20223375579864,106.09104907388186,120.23606728985284,0.0003257506145991,0.0003253515452425,0.0003251474715155,0.0003250155109046,0.000324970847263,0.0003250732476021,0.0006562291933816,0.0006565074410885,0.0006563561004636,0.0006559343457017,0.0006551913638392,0.0006539971381083,0.2536152899265289,0.2566015124320984,0.1682542264461517,0.1728418320417404,0.1492747962474822,0.1442657709121704,0.1545704454183578,0.163477674126625,0.163840189576149,0.1644417494535446,0.163738414645195,0.1639463305473327,0.1634125113487243,0.1675593107938766,0.1653134077787399,0.1663921475410461,0.1674291491508484,0.1657072603702545,0.1697645336389541,0.1690589338541031,0.171930193901062,0.1740693897008896,0.1780222803354263,0.1771653592586517,0.1790817379951477,0.1769587695598602,0.1782106459140777,0.1777662634849548,0.176125168800354,0.1755768060684204,0.176021859049797,0.1734882891178131,0.1725329160690307,0.1710722893476486,0.1691169589757919,0.1665596663951873,0.161521166563034,0.1590440273284912,0.1560872942209243,0.1540355235338211,0.150417685508728,0.1478715389966964,0.1458478420972824,0.1443094462156295,0.1422274261713028,0.141173779964447,0.1386364251375198,0.135269433259964,0.1315925419330597,0.127824917435646,0.1240188851952552,0.1208141967654228,0.1188666000962257,0.1173053532838821,0.1158971637487411,0.1154146119952201,0.1146700680255889,0.1152547895908355,0.1155210509896278,0.1207418963313102,0.1227482482790946,0.1268728524446487,0.1286889165639877,0.1314940005540847
